Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Header_menu,Chrome 126.0.0.0,,,12-07-2024 14:53:04,12-07-2024 14:56:52,3m - 47.736s,PASSED
,,,,,,,
Test Cases/Filter/TC23_HeaderMenu_Women_product_type_Basics,Chrome 126.0.0.0,,,12-07-2024 14:53:04,12-07-2024 14:53:17,12.454s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 14:53:06,12-07-2024 14:53:15,8.426s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 14:53:15,12-07-2024 14:53:15,0.099s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Dashboard_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 14:53:15,12-07-2024 14:53:16,1.452s,PASSED
"if (department == ""Women"" && type == ""Basics"")",Chrome 126.0.0.0,,,12-07-2024 14:53:16,12-07-2024 14:53:16,0.002s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 14:53:16,12-07-2024 14:53:17,0.661s,PASSED
,,,,,,,
Test Cases/Filter/TC24_HeaderMenu_Women_product_type_Blazer,Chrome 126.0.0.0,,,12-07-2024 14:53:17,12-07-2024 14:53:25,7.699s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 14:53:17,12-07-2024 14:53:19,2.375s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 14:53:19,12-07-2024 14:53:23,3.459s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Dashboard_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 14:53:23,12-07-2024 14:53:24,1.239s,PASSED
"if (department == ""Women"" && type == ""Blazer"")",Chrome 126.0.0.0,,,12-07-2024 14:53:24,12-07-2024 14:53:24,0.003s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 14:53:24,12-07-2024 14:53:25,0.379s,PASSED
,,,,,,,
Test Cases/Filter/TC25_HeaderMenu_Kids_product_type_Girl,Chrome 126.0.0.0,,,12-07-2024 14:53:25,12-07-2024 14:53:33,8.909s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 14:53:25,12-07-2024 14:53:31,5.795s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 14:53:31,12-07-2024 14:53:31,0.071s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Dashboard_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 14:53:31,12-07-2024 14:53:33,2.619s,PASSED
"if (department == ""Kids"" && type == ""Girl"")",Chrome 126.0.0.0,,,12-07-2024 14:53:33,12-07-2024 14:53:33,0.001s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 14:53:33,12-07-2024 14:53:33,0.221s,PASSED
,,,,,,,
Test Cases/Filter/TC26_HeaderMenu_Kids_product_type_Boy,Chrome 126.0.0.0,,,12-07-2024 14:53:33,12-07-2024 14:53:42,8.965s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 14:53:34,12-07-2024 14:53:39,5.478s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 14:53:39,12-07-2024 14:53:39,0.077s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Dashboard_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 14:53:39,12-07-2024 14:53:42,2.876s,PASSED
"if (department == ""Kids"" && type == ""Boy"")",Chrome 126.0.0.0,,,12-07-2024 14:53:42,12-07-2024 14:53:42,0.001s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 14:53:42,12-07-2024 14:53:42,0.291s,PASSED
,,,,,,,
Test Cases/Filter/TC27_HeaderMenu_Men_product_type_Knitwear,Chrome 126.0.0.0,,,12-07-2024 14:53:42,12-07-2024 14:53:53,10.101s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 14:53:43,12-07-2024 14:53:46,3.140s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 14:53:46,12-07-2024 14:53:50,3.493s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Dashboard_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 14:53:50,12-07-2024 14:53:52,2.756s,PASSED
"if (department == ""Men"" && type == ""Knitwear"")",Chrome 126.0.0.0,,,12-07-2024 14:53:52,12-07-2024 14:53:52,0.001s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 14:53:52,12-07-2024 14:53:53,0.266s,PASSED
,,,,,,,
Test Cases/Filter/TC28_HeaderMenu_Men_product_type_Jeans,Chrome 126.0.0.0,,,12-07-2024 14:53:53,12-07-2024 14:54:01,8.418s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 14:53:53,12-07-2024 14:53:55,2.303s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 14:53:55,12-07-2024 14:53:59,3.497s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Dashboard_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 14:53:59,12-07-2024 14:54:00,1.517s,PASSED
"if (department == ""Men"" && type == ""Jeans"")",Chrome 126.0.0.0,,,12-07-2024 14:54:00,12-07-2024 14:54:00,0.001s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 14:54:00,12-07-2024 14:54:01,0.947s,PASSED
,,,,,,,
Test Cases/Filter/TC29_HeaderMenu_Men_product_type_Jackets,Chrome 126.0.0.0,,,12-07-2024 14:54:01,12-07-2024 14:54:11,9.588s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 14:54:01,12-07-2024 14:54:08,6.285s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 14:54:08,12-07-2024 14:54:08,0.087s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Dashboard_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 14:54:08,12-07-2024 14:54:10,2.593s,PASSED
"if (department == ""Men"" && type == ""Jackets"")",Chrome 126.0.0.0,,,12-07-2024 14:54:10,12-07-2024 14:54:10,0.002s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 14:54:10,12-07-2024 14:54:11,0.278s,PASSED
,,,,,,,
Test Cases/Filter/TC23_HeaderMenu_Women_product_type_Basics,Chrome 126.0.0.0,,,12-07-2024 14:54:11,12-07-2024 14:54:19,8.641s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 14:54:11,12-07-2024 14:54:13,2.286s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 14:54:13,12-07-2024 14:54:16,3.402s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Dashboard_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 14:54:16,12-07-2024 14:54:19,2.640s,PASSED
"if (department == ""Women"" && type == ""Basics"")",Chrome 126.0.0.0,,,12-07-2024 14:54:19,12-07-2024 14:54:19,0.000s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 14:54:19,12-07-2024 14:54:19,0.284s,PASSED
,,,,,,,
Test Cases/Filter/TC24_HeaderMenu_Women_product_type_Blazer,Chrome 126.0.0.0,,,12-07-2024 14:54:19,12-07-2024 14:54:27,7.502s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 14:54:19,12-07-2024 14:54:25,5.645s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 14:54:25,12-07-2024 14:54:25,0.141s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Dashboard_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 14:54:25,12-07-2024 14:54:26,1.383s,PASSED
"if (department == ""Women"" && type == ""Blazer"")",Chrome 126.0.0.0,,,12-07-2024 14:54:26,12-07-2024 14:54:26,0.001s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 14:54:26,12-07-2024 14:54:27,0.307s,PASSED
,,,,,,,
Test Cases/Filter/TC25_HeaderMenu_Kids_product_type_Girl,Chrome 126.0.0.0,,,12-07-2024 14:54:27,12-07-2024 14:54:34,7.622s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 14:54:27,12-07-2024 14:54:33,5.747s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 14:54:33,12-07-2024 14:54:33,0.103s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Dashboard_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 14:54:33,12-07-2024 14:54:34,1.391s,PASSED
"if (department == ""Kids"" && type == ""Girl"")",Chrome 126.0.0.0,,,12-07-2024 14:54:34,12-07-2024 14:54:34,0.000s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 14:54:34,12-07-2024 14:54:34,0.345s,PASSED
,,,,,,,
Test Cases/Filter/TC26_HeaderMenu_Kids_product_type_Boy,Chrome 126.0.0.0,,,12-07-2024 14:54:34,12-07-2024 14:54:43,8.484s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 14:54:34,12-07-2024 14:54:36,2.090s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 14:54:36,12-07-2024 14:54:40,3.333s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Dashboard_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 14:54:40,12-07-2024 14:54:43,2.770s,PASSED
"if (department == ""Kids"" && type == ""Boy"")",Chrome 126.0.0.0,,,12-07-2024 14:54:43,12-07-2024 14:54:43,0.000s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 14:54:43,12-07-2024 14:54:43,0.266s,PASSED
,,,,,,,
Test Cases/Filter/TC27_HeaderMenu_Men_product_type_Knitwear,Chrome 126.0.0.0,,,12-07-2024 14:54:43,12-07-2024 14:54:50,7.140s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 14:54:43,12-07-2024 14:54:48,5.351s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 14:54:48,12-07-2024 14:54:48,0.079s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Dashboard_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 14:54:48,12-07-2024 14:54:50,1.394s,PASSED
"if (department == ""Men"" && type == ""Knitwear"")",Chrome 126.0.0.0,,,12-07-2024 14:54:50,12-07-2024 14:54:50,0.001s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 14:54:50,12-07-2024 14:54:50,0.289s,PASSED
,,,,,,,
Test Cases/Filter/TC28_HeaderMenu_Men_product_type_Jeans,Chrome 126.0.0.0,,,12-07-2024 14:54:50,12-07-2024 14:54:57,7.369s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 14:54:50,12-07-2024 14:54:55,5.392s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 14:54:55,12-07-2024 14:54:55,0.076s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Dashboard_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 14:54:55,12-07-2024 14:54:57,1.622s,PASSED
"if (department == ""Men"" && type == ""Jeans"")",Chrome 126.0.0.0,,,12-07-2024 14:54:57,12-07-2024 14:54:57,0.001s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 14:54:57,12-07-2024 14:54:57,0.256s,PASSED
,,,,,,,
Test Cases/Filter/TC29_HeaderMenu_Men_product_type_Jackets,Chrome 126.0.0.0,,,12-07-2024 14:54:57,12-07-2024 14:55:06,8.405s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 14:54:57,12-07-2024 14:55:03,5.564s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 14:55:03,12-07-2024 14:55:03,0.110s,PASSED
