Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
All Products,Chrome 126.0.0.0,,,12-07-2024 16:07:28,12-07-2024 16:10:00,2m - 31.803s,PASSED
,,,,,,,
Test Cases/Product Overview/TC08_Check_display_info_product_01,Chrome 126.0.0.0,,,12-07-2024 16:07:29,12-07-2024 16:07:52,23.178s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 16:07:30,12-07-2024 16:07:45,15.313s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 16:07:45,12-07-2024 16:07:45,0.117s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Product_item"", [""product_name"":product_name]), 5)",Chrome 126.0.0.0,,,12-07-2024 16:07:45,12-07-2024 16:07:47,1.788s,PASSED
"click(findTestObject(""Object Repository/Dashboard/Product_item"", [""product_name"":product_name]))",Chrome 126.0.0.0,,,12-07-2024 16:07:47,12-07-2024 16:07:47,0.438s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Product Overview/Product_Overview_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 16:07:47,12-07-2024 16:07:48,1.146s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Product Overview/Product_title"", [""product_name"":product_name]), 5)",Chrome 126.0.0.0,,,12-07-2024 16:07:48,12-07-2024 16:07:49,0.326s,PASSED
"price_web = getText(findTestObject(""Object Repository/Product Overview/Product_price""))",Chrome 126.0.0.0,,,12-07-2024 16:07:49,12-07-2024 16:07:49,0.590s,PASSED
get_price = price_web.contains(price),Chrome 126.0.0.0,,,12-07-2024 16:07:49,12-07-2024 16:07:49,0.003s,PASSED
"verifyEqual(get_price, true)",Chrome 126.0.0.0,,,12-07-2024 16:07:49,12-07-2024 16:07:49,0.079s,PASSED
"actual_color = getText(findTestObject(""Object Repository/Product Overview/Product_color"")).toLowerCase()",Chrome 126.0.0.0,,,12-07-2024 16:07:49,12-07-2024 16:07:50,0.316s,PASSED
"verifyMatch(actual_color, color, true)",Chrome 126.0.0.0,,,12-07-2024 16:07:50,12-07-2024 16:07:50,0.020s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 16:07:50,12-07-2024 16:07:52,2.155s,PASSED
,,,,,,,
Test Cases/Product Overview/TC09_Check_display_info_product_02,Chrome 126.0.0.0,,,12-07-2024 16:07:52,12-07-2024 16:08:06,14.287s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 16:07:52,12-07-2024 16:07:55,2.242s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 16:07:55,12-07-2024 16:08:00,5.360s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Product_item"", [""product_name"":product_name]), 5)",Chrome 126.0.0.0,,,12-07-2024 16:08:00,12-07-2024 16:08:03,2.593s,PASSED
"click(findTestObject(""Object Repository/Dashboard/Product_item"", [""product_name"":product_name]))",Chrome 126.0.0.0,,,12-07-2024 16:08:03,12-07-2024 16:08:03,0.371s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Product Overview/Product_Overview_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 16:08:03,12-07-2024 16:08:04,1.066s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Product Overview/Product_title"", [""product_name"":product_name]), 5)",Chrome 126.0.0.0,,,12-07-2024 16:08:04,12-07-2024 16:08:04,0.309s,PASSED
"price_web = getText(findTestObject(""Object Repository/Product Overview/Product_price""))",Chrome 126.0.0.0,,,12-07-2024 16:08:04,12-07-2024 16:08:05,0.320s,PASSED
get_price = price_web.contains(price),Chrome 126.0.0.0,,,12-07-2024 16:08:05,12-07-2024 16:08:05,0.002s,PASSED
"verifyEqual(get_price, true)",Chrome 126.0.0.0,,,12-07-2024 16:08:05,12-07-2024 16:08:05,0.003s,PASSED
"actual_color = getText(findTestObject(""Object Repository/Product Overview/Product_color"")).toLowerCase()",Chrome 126.0.0.0,,,12-07-2024 16:08:05,12-07-2024 16:08:05,0.531s,PASSED
"verifyMatch(actual_color, color, true)",Chrome 126.0.0.0,,,12-07-2024 16:08:05,12-07-2024 16:08:05,0.003s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 16:08:05,12-07-2024 16:08:06,1.202s,PASSED
,,,,,,,
Test Cases/Product Overview/TC10_Check_display_info_product_03,Chrome 126.0.0.0,,,12-07-2024 16:08:06,12-07-2024 16:08:20,13.871s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 16:08:07,12-07-2024 16:08:09,2.492s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 16:08:09,12-07-2024 16:08:15,5.440s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Product_item"", [""product_name"":product_name]), 5)",Chrome 126.0.0.0,,,12-07-2024 16:08:15,12-07-2024 16:08:17,2.571s,PASSED
"click(findTestObject(""Object Repository/Dashboard/Product_item"", [""product_name"":product_name]))",Chrome 126.0.0.0,,,12-07-2024 16:08:17,12-07-2024 16:08:18,0.428s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Product Overview/Product_Overview_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 16:08:18,12-07-2024 16:08:19,1.104s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Product Overview/Product_title"", [""product_name"":product_name]), 5)",Chrome 126.0.0.0,,,12-07-2024 16:08:19,12-07-2024 16:08:19,0.301s,PASSED
