Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sign in,Chrome 126.0.0.0,,,12-07-2024 16:19:26,12-07-2024 16:22:19,2m - 53.868s,PASSED
,,,,,,,
Test Cases/Sign in/TC01_Fill_wrong_username_password_format,Chrome 126.0.0.0,,,12-07-2024 16:19:26,12-07-2024 16:19:44,17.982s,PASSED
openBrowser(Login_URL),Chrome 126.0.0.0,,,12-07-2024 16:19:27,12-07-2024 16:19:33,6.491s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 16:19:33,12-07-2024 16:19:40,6.406s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Sign in/Sign_in_page""), 10)",Chrome 126.0.0.0,,,12-07-2024 16:19:40,12-07-2024 16:19:40,0.536s,PASSED
"setText(findTestObject(""Object Repository/Sign in/Email_input""), username)",Chrome 126.0.0.0,,,12-07-2024 16:19:40,12-07-2024 16:19:41,1.271s,PASSED
"setText(findTestObject(""Object Repository/Sign in/Password_input""), password)",Chrome 126.0.0.0,,,12-07-2024 16:19:41,12-07-2024 16:19:42,0.808s,PASSED
"sendKeys(findTestObject(""Object Repository/Sign in/Password_input""), Keys.chord(TAB))",Chrome 126.0.0.0,,,12-07-2024 16:19:42,12-07-2024 16:19:43,0.588s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Sign in/Email_error_message_lb""), 10)",Chrome 126.0.0.0,,,12-07-2024 16:19:43,12-07-2024 16:19:43,0.464s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Sign in/Password_error_message_lb""), 10)",Chrome 126.0.0.0,,,12-07-2024 16:19:43,12-07-2024 16:19:44,0.339s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 16:19:44,12-07-2024 16:19:44,0.357s,PASSED
,,,,,,,
Test Cases/Sign in/TC01_Fill_wrong_username_password_format,Chrome 126.0.0.0,,,12-07-2024 16:19:44,12-07-2024 16:19:56,12.216s,PASSED
openBrowser(Login_URL),Chrome 126.0.0.0,,,12-07-2024 16:19:44,12-07-2024 16:19:51,6.958s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 16:19:51,12-07-2024 16:19:51,0.072s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Sign in/Sign_in_page""), 10)",Chrome 126.0.0.0,,,12-07-2024 16:19:51,12-07-2024 16:19:52,1.157s,PASSED
"setText(findTestObject(""Object Repository/Sign in/Email_input""), username)",Chrome 126.0.0.0,,,12-07-2024 16:19:52,12-07-2024 16:19:53,1.200s,PASSED
"setText(findTestObject(""Object Repository/Sign in/Password_input""), password)",Chrome 126.0.0.0,,,12-07-2024 16:19:53,12-07-2024 16:19:54,0.683s,PASSED
"sendKeys(findTestObject(""Object Repository/Sign in/Password_input""), Keys.chord(TAB))",Chrome 126.0.0.0,,,12-07-2024 16:19:54,12-07-2024 16:19:55,0.838s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Sign in/Email_error_message_lb""), 10)",Chrome 126.0.0.0,,,12-07-2024 16:19:55,12-07-2024 16:19:55,0.439s,PASSED
