Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search,Chrome 126.0.0.0,,,12-07-2024 16:42:50,12-07-2024 16:45:54,3m - 3.891s,PASSED
,,,,,,,
Test Cases/Search/TC22_Search_and_check_detail_info_product_01,Chrome 126.0.0.0,,,12-07-2024 16:42:51,12-07-2024 16:43:14,22.645s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 16:42:52,12-07-2024 16:43:09,16.531s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 16:43:09,12-07-2024 16:43:09,0.165s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Dashboard_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 16:43:09,12-07-2024 16:43:11,2.589s,PASSED
"click(findTestObject(""Object Repository/Dashboard/Search_input""))",Chrome 126.0.0.0,,,12-07-2024 16:43:11,12-07-2024 16:43:12,0.578s,PASSED
"setText(findTestObject(""Object Repository/Dashboard/Search_input""), product_name)",Chrome 126.0.0.0,,,12-07-2024 16:43:12,12-07-2024 16:43:13,0.935s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 16:43:13,12-07-2024 16:43:14,0.762s,PASSED
,,,,,,,
Test Cases/Search/TC40_Search_and_check_detail_info_product_02,Chrome 126.0.0.0,,,12-07-2024 16:43:14,12-07-2024 16:43:32,17.881s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 16:43:14,12-07-2024 16:43:27,12.980s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 16:43:27,12-07-2024 16:43:27,0.070s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Dashboard_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 16:43:27,12-07-2024 16:43:29,2.567s,PASSED
"click(findTestObject(""Object Repository/Dashboard/Search_input""))",Chrome 126.0.0.0,,,12-07-2024 16:43:29,12-07-2024 16:43:30,0.346s,PASSED
"setText(findTestObject(""Object Repository/Dashboard/Search_input""), product_name)",Chrome 126.0.0.0,,,12-07-2024 16:43:30,12-07-2024 16:43:31,1.356s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,12-07-2024 16:43:31,12-07-2024 16:43:32,0.455s,PASSED
,,,,,,,
Test Cases/Search/TC41_Search_and_check_detail_info_product_03,Chrome 126.0.0.0,,,12-07-2024 16:43:32,12-07-2024 16:43:48,16.176s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,12-07-2024 16:43:32,12-07-2024 16:43:35,2.981s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,12-07-2024 16:43:35,12-07-2024 16:43:44,9.066s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Dashboard/Dashboard_page""), 5)",Chrome 126.0.0.0,,,12-07-2024 16:43:44,12-07-2024 16:43:45,1.400s,PASSED
"click(findTestObject(""Object Repository/Dashboard/Search_input""))",Chrome 126.0.0.0,,,12-07-2024 16:43:45,12-07-2024 16:43:47,1.311s,PASSED
"setText(findTestObject(""Object Repository/Dashboard/Search_input""), product_name)",Chrome 126.0.0.0,,,12-07-2024 16:43:47,12-07-2024 16:43:48,1.110s,PASSED
