Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 126.0.0.0,,,18-07-2024 21:21:51,18-07-2024 21:22:54,1m - 2.810s,PASSED
,,,,,,,
Test Cases/Healthcare/Login/TC01_Login_success_with_valid_info,Chrome 126.0.0.0,,,18-07-2024 21:21:51,18-07-2024 21:22:00,8.789s,PASSED
openBrowser(HC_Login_URL),Chrome 126.0.0.0,,,18-07-2024 21:21:51,18-07-2024 21:21:56,4.822s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,18-07-2024 21:21:56,18-07-2024 21:21:56,0.083s,PASSED
"setText(findTestObject(""Object Repository/Healthcare/Login/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,18-07-2024 21:21:56,18-07-2024 21:21:57,0.748s,PASSED
"setText(findTestObject(""Object Repository/Healthcare/Login/input_Password_password""), ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,18-07-2024 21:21:57,18-07-2024 21:21:58,0.618s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Login/button_Login""))",Chrome 126.0.0.0,,,18-07-2024 21:21:58,18-07-2024 21:21:59,1.569s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Healthcare/Appointment/form_Healthcare""), 3)",Chrome 126.0.0.0,,,18-07-2024 21:21:59,18-07-2024 21:22:00,0.507s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,18-07-2024 21:22:00,18-07-2024 21:22:00,0.152s,PASSED
,,,,,,,
Test Cases/Healthcare/Login/TC02_Login_via_make_appointment,Chrome 126.0.0.0,,,18-07-2024 21:22:00,18-07-2024 21:22:39,39.263s,PASSED
openBrowser(HC_Dashborad_URL),Chrome 126.0.0.0,,,18-07-2024 21:22:00,18-07-2024 21:22:04,3.720s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,18-07-2024 21:22:04,18-07-2024 21:22:04,0.045s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Dashboard/a_Make Appointment""))",Chrome 126.0.0.0,,,18-07-2024 21:22:04,18-07-2024 21:22:36,32.425s,PASSED
"store.Authentication.HC_Login.HC_Login_with_URL(""John Doe"", ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,18-07-2024 21:22:36,18-07-2024 21:22:39,2.668s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Healthcare/Appointment/form_Healthcare""), 3)",Chrome 126.0.0.0,,,18-07-2024 21:22:39,18-07-2024 21:22:39,0.260s,PASSED
,,,,,,,
Test Cases/Healthcare/Login/TC03_Login_via_burger_menu,Chrome 126.0.0.0,,,18-07-2024 21:22:39,18-07-2024 21:22:47,8.212s,PASSED
openBrowser(HC_Dashborad_URL),Chrome 126.0.0.0,,,18-07-2024 21:22:39,18-07-2024 21:22:43,3.521s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,18-07-2024 21:22:43,18-07-2024 21:22:43,0.042s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Burger menu/a_Burger_menu""))",Chrome 126.0.0.0,,,18-07-2024 21:22:43,18-07-2024 21:22:43,0.313s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Burger menu/a_Login""))",Chrome 126.0.0.0,,,18-07-2024 21:22:43,18-07-2024 21:22:44,0.783s,PASSED
"store.Authentication.HC_Login.HC_Login_with_URL(""John Doe"", ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,18-07-2024 21:22:44,18-07-2024 21:22:47,3.077s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Healthcare/Appointment/form_Healthcare""), 3)",Chrome 126.0.0.0,,,18-07-2024 21:22:47,18-07-2024 21:22:47,0.263s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,18-07-2024 21:22:47,18-07-2024 21:22:47,0.114s,PASSED
,,,,,,,
Test Cases/Healthcare/Login/TC06_Login_with_invalid_info,Chrome 126.0.0.0,,,18-07-2024 21:22:47,18-07-2024 21:22:54,6.355s,PASSED
openBrowser(HC_Login_URL),Chrome 126.0.0.0,,,18-07-2024 21:22:47,18-07-2024 21:22:51,3.452s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,18-07-2024 21:22:51,18-07-2024 21:22:51,0.057s,PASSED
"setText(findTestObject(""Object Repository/Healthcare/Login/input_Username_username""), ""John"")",Chrome 126.0.0.0,,,18-07-2024 21:22:51,18-07-2024 21:22:52,0.630s,PASSED
"setText(findTestObject(""Object Repository/Healthcare/Login/input_Password_password""), ""ThisIsAPassword"")",Chrome 126.0.0.0,,,18-07-2024 21:22:52,18-07-2024 21:22:52,0.596s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Login/button_Login""))",Chrome 126.0.0.0,,,18-07-2024 21:22:52,18-07-2024 21:22:53,0.873s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Healthcare/Login/label_Error_message""), 3)",Chrome 126.0.0.0,,,18-07-2024 21:22:53,18-07-2024 21:22:54,0.500s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,18-07-2024 21:22:54,18-07-2024 21:22:54,0.140s,PASSED
