Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Make appointment,Chrome 126.0.0.0,,,18-07-2024 23:22:08,18-07-2024 23:22:54,46.047s,PASSED
,,,,,,,
Test Cases/Healthcare/Appointment/TC13_Make_apointment_Tokyo,Chrome 126.0.0.0,,,18-07-2024 23:22:08,18-07-2024 23:22:20,12.719s,PASSED
store.Authentication.HC_Login_Make_Appointment.Login_Appointment(),Chrome 126.0.0.0,,,18-07-2024 23:22:08,18-07-2024 23:22:17,9.176s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/Facility_dropdownlist""))",Chrome 126.0.0.0,,,18-07-2024 23:22:17,18-07-2024 23:22:18,0.309s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/Facility_Tokyo_option""))",Chrome 126.0.0.0,,,18-07-2024 23:22:18,18-07-2024 23:22:18,0.291s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/VisitDate_Calendar_icon""))",Chrome 126.0.0.0,,,18-07-2024 23:22:18,18-07-2024 23:22:18,0.384s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/VisitDate_Calendar_Date_option""))",Chrome 126.0.0.0,,,18-07-2024 23:22:18,18-07-2024 23:22:19,0.414s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/Book_appointment_button""))",Chrome 126.0.0.0,,,18-07-2024 23:22:19,18-07-2024 23:22:20,0.818s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Healthcare/Summary/Appointment_Confirmation_label""), 3)",Chrome 126.0.0.0,,,18-07-2024 23:22:20,18-07-2024 23:22:20,0.531s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Healthcare/Summary/Facility_Tokyo_label""), 3)",Chrome 126.0.0.0,,,18-07-2024 23:22:20,18-07-2024 23:22:20,0.275s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,18-07-2024 23:22:20,18-07-2024 23:22:20,0.174s,PASSED
,,,,,,,
Test Cases/Healthcare/Appointment/TC14_Make_appointment_Seoul,Chrome 126.0.0.0,,,18-07-2024 23:22:20,18-07-2024 23:22:31,10.934s,PASSED
