Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Hopital_readmission,Chrome 126.0.0.0,,,19-07-2024 20:18:41,19-07-2024 20:19:09,28.455s,PASSED
,,,,,,,
Test Cases/Healthcare/Appointment/TC17_Apply_hopital_readmission,Chrome 126.0.0.0,,,19-07-2024 20:18:41,19-07-2024 20:18:57,16.390s,PASSED
store.Authentication.HC_Login_Make_Appointment.Login_Appointment(),Chrome 126.0.0.0,,,19-07-2024 20:18:42,19-07-2024 20:18:52,10.689s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/Facility_dropdownlist""))",Chrome 126.0.0.0,,,19-07-2024 20:18:52,19-07-2024 20:18:53,0.310s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/Facility_Seoul_option""))",Chrome 126.0.0.0,,,19-07-2024 20:18:53,19-07-2024 20:18:53,0.302s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/Facility_Seoul_option""))",Chrome 126.0.0.0,,,19-07-2024 20:18:53,19-07-2024 20:18:53,0.286s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/VisitDate_Calendar_icon""))",Chrome 126.0.0.0,,,19-07-2024 20:18:53,19-07-2024 20:18:54,0.419s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/VisitDate_Calendar_Date_option""))",Chrome 126.0.0.0,,,19-07-2024 20:18:54,19-07-2024 20:18:54,0.439s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/Comment_textarea""))",Chrome 126.0.0.0,,,19-07-2024 20:18:54,19-07-2024 20:18:55,0.542s,PASSED
"check(findTestObject(""Object Repository/Healthcare/Appointment/Apply_hopital_readmission_checkbox""))",Chrome 126.0.0.0,,,19-07-2024 20:18:55,19-07-2024 20:18:55,0.375s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/Book_appointment_button""))",Chrome 126.0.0.0,,,19-07-2024 20:18:55,19-07-2024 20:18:57,1.605s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Healthcare/Summary/Appointment_Confirmation_label""), 3)",Chrome 126.0.0.0,,,19-07-2024 20:18:57,19-07-2024 20:18:57,0.407s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Healthcare/Summary/Apply_hopital_readmission_Yes""), 3)",Chrome 126.0.0.0,,,19-07-2024 20:18:57,19-07-2024 20:18:57,0.272s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,19-07-2024 20:18:57,19-07-2024 20:18:57,0.230s,PASSED
,,,,,,,
Test Cases/Healthcare/Appointment/TC18_Not_Apply_hopital_readmission,Chrome 126.0.0.0,,,19-07-2024 20:18:57,19-07-2024 20:19:09,11.881s,PASSED
store.Authentication.HC_Login_Make_Appointment.Login_Appointment(),Chrome 126.0.0.0,,,19-07-2024 20:18:58,19-07-2024 20:19:06,8.173s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/Facility_dropdownlist""))",Chrome 126.0.0.0,,,19-07-2024 20:19:06,19-07-2024 20:19:06,0.337s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/Facility_Seoul_option""))",Chrome 126.0.0.0,,,19-07-2024 20:19:06,19-07-2024 20:19:06,0.283s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/Facility_Seoul_option""))",Chrome 126.0.0.0,,,19-07-2024 20:19:06,19-07-2024 20:19:07,0.266s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/VisitDate_Calendar_icon""))",Chrome 126.0.0.0,,,19-07-2024 20:19:07,19-07-2024 20:19:07,0.373s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/VisitDate_Calendar_Date_option""))",Chrome 126.0.0.0,,,19-07-2024 20:19:07,19-07-2024 20:19:08,0.421s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/Comment_textarea""))",Chrome 126.0.0.0,,,19-07-2024 20:19:08,19-07-2024 20:19:08,0.514s,PASSED
"click(findTestObject(""Object Repository/Healthcare/Appointment/Book_appointment_button""))",Chrome 126.0.0.0,,,19-07-2024 20:19:08,19-07-2024 20:19:09,0.620s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Healthcare/Summary/Appointment_Confirmation_label""), 3)",Chrome 126.0.0.0,,,19-07-2024 20:19:09,19-07-2024 20:19:09,0.317s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Healthcare/Summary/Apply_hopital_readmission_No""), 3)",Chrome 126.0.0.0,,,19-07-2024 20:19:09,19-07-2024 20:19:09,0.277s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,19-07-2024 20:19:09,19-07-2024 20:19:09,0.137s,PASSED
