Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sign up,Chrome 126.0.0.0,,,19-07-2024 20:44:29,19-07-2024 20:53:18,8m - 49.007s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Sign up/TC18_Fill_wrong_email_format,Chrome 126.0.0.0,,,19-07-2024 20:44:29,19-07-2024 20:44:53,24.304s,PASSED
openBrowser(Signup_URL),Chrome 126.0.0.0,,,19-07-2024 20:44:29,19-07-2024 20:44:49,19.708s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,19-07-2024 20:44:49,19-07-2024 20:44:49,0.061s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign up/Sign_up_page""), 5)",Chrome 126.0.0.0,,,19-07-2024 20:44:49,19-07-2024 20:44:51,2.050s,PASSED
"setText(findTestObject(""Object Repository/Shopping Cart/Sign up/Email_input""), username)",Chrome 126.0.0.0,,,19-07-2024 20:44:51,19-07-2024 20:44:52,0.636s,PASSED
"sendKeys(findTestObject(""Object Repository/Shopping Cart/Sign up/Email_input""), Keys.chord(TAB))",Chrome 126.0.0.0,,,19-07-2024 20:44:52,19-07-2024 20:44:52,0.436s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign up/Email_error_message_lb""), 5)",Chrome 126.0.0.0,,,19-07-2024 20:44:52,19-07-2024 20:44:53,0.490s,PASSED
"Actual_email_error = getText(findTestObject(""Object Repository/Shopping Cart/Sign up/Email_error_message_lb""))",Chrome 126.0.0.0,,,19-07-2024 20:44:53,19-07-2024 20:44:53,0.292s,PASSED
"verifyEqual(Actual_email_error, expec_email_error)",Chrome 126.0.0.0,,,19-07-2024 20:44:53,19-07-2024 20:44:53,0.037s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,19-07-2024 20:44:53,19-07-2024 20:44:53,0.218s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Sign up/TC18_Fill_wrong_email_format,Chrome 126.0.0.0,,,19-07-2024 20:44:53,19-07-2024 20:45:09,15.283s,PASSED
openBrowser(Signup_URL),Chrome 126.0.0.0,,,19-07-2024 20:44:53,19-07-2024 20:45:02,8.397s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,19-07-2024 20:45:02,19-07-2024 20:45:02,0.045s,PASSED
