Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
All Products,Chrome 126.0.0.0,,,20-07-2024 15:49:26,20-07-2024 15:53:59,4m - 32.796s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Product Overview/TC08_Check_display_info_product_01,Chrome 126.0.0.0,,,20-07-2024 15:49:27,20-07-2024 15:49:41,14.390s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,20-07-2024 15:49:27,20-07-2024 15:49:35,7.925s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,20-07-2024 15:49:35,20-07-2024 15:49:35,0.136s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Shopping Cart/Dashboard/Product_item"", [""product_name"":product_name]), 5)",Chrome 126.0.0.0,,,20-07-2024 15:49:35,20-07-2024 15:49:38,3.294s,PASSED
"click(findTestObject(""Object Repository/Shopping Cart/Dashboard/Product_item"", [""product_name"":product_name]))",Chrome 126.0.0.0,,,20-07-2024 15:49:38,20-07-2024 15:49:39,0.326s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Shopping Cart/Product Overview/Product_Overview_page""), 5)",Chrome 126.0.0.0,,,20-07-2024 15:49:39,20-07-2024 15:49:40,1.066s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Product Overview/Product_title"", [""product_name"":product_name]), 5)",Chrome 126.0.0.0,,,20-07-2024 15:49:40,20-07-2024 15:49:40,0.282s,PASSED
"price_web = getText(findTestObject(""Object Repository/Shopping Cart/Product Overview/Product_price""))",Chrome 126.0.0.0,,,20-07-2024 15:49:40,20-07-2024 15:49:40,0.302s,PASSED
get_price = price_web.contains(price),Chrome 126.0.0.0,,,20-07-2024 15:49:40,20-07-2024 15:49:40,0.004s,PASSED
"verifyEqual(get_price, true)",Chrome 126.0.0.0,,,20-07-2024 15:49:40,20-07-2024 15:49:40,0.067s,PASSED
"actual_color = getText(findTestObject(""Object Repository/Shopping Cart/Product Overview/Product_color"")).toLowerCase()",Chrome 126.0.0.0,,,20-07-2024 15:49:40,20-07-2024 15:49:41,0.288s,PASSED
"verifyMatch(actual_color, color, true)",Chrome 126.0.0.0,,,20-07-2024 15:49:41,20-07-2024 15:49:41,0.016s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,20-07-2024 15:49:41,20-07-2024 15:49:41,0.210s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Product Overview/TC09_Check_display_info_product_02,Chrome 126.0.0.0,,,20-07-2024 15:49:41,20-07-2024 15:49:54,12.590s,PASSED
openBrowser(Dashborad_URL),Chrome 126.0.0.0,,,20-07-2024 15:49:41,20-07-2024 15:49:47,5.619s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,20-07-2024 15:49:47,20-07-2024 15:49:47,0.137s,PASSED
