Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sign in,Chrome 126.0.0.0,,,24-07-2024 17:49:08,24-07-2024 17:55:56,6m - 47.173s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Sign in/TC01_Fill_wrong_username_password_format,Chrome 126.0.0.0,,,24-07-2024 17:49:09,24-07-2024 17:53:40,4m - 31.017s,PASSED
openBrowser(Login_URL),Chrome 126.0.0.0,,,24-07-2024 17:49:09,24-07-2024 17:49:38,28.545s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,24-07-2024 17:49:38,24-07-2024 17:49:38,0.653s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign in/Sign_in_page""), 10)",Chrome 126.0.0.0,,,24-07-2024 17:49:38,24-07-2024 17:50:09,30.260s,PASSED
"setText(findTestObject(""Object Repository/Shopping Cart/Sign in/Email_input""), username)",Chrome 126.0.0.0,,,24-07-2024 17:50:09,24-07-2024 17:51:09,1m - 0.295s,PASSED
"setText(findTestObject(""Object Repository/Shopping Cart/Sign in/Password_input""), password)",Chrome 126.0.0.0,,,24-07-2024 17:51:09,24-07-2024 17:52:09,1m - 0.267s,PASSED
"sendKeys(findTestObject(""Object Repository/Shopping Cart/Sign in/Password_input""), Keys.chord(TAB))",Chrome 126.0.0.0,,,24-07-2024 17:52:09,24-07-2024 17:52:39,30.104s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign in/Email_error_message_lb""), 10)",Chrome 126.0.0.0,,,24-07-2024 17:52:39,24-07-2024 17:53:09,30.042s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign in/Password_error_message_lb""), 10)",Chrome 126.0.0.0,,,24-07-2024 17:53:09,24-07-2024 17:53:39,30.037s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,24-07-2024 17:53:39,24-07-2024 17:53:40,0.427s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Sign in/TC01_Fill_wrong_username_password_format,Chrome 126.0.0.0,,,24-07-2024 17:53:40,24-07-2024 17:53:52,12.491s,PASSED
openBrowser(Login_URL),Chrome 126.0.0.0,,,24-07-2024 17:53:40,24-07-2024 17:53:47,7.461s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,24-07-2024 17:53:47,24-07-2024 17:53:47,0.076s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign in/Sign_in_page""), 10)",Chrome 126.0.0.0,,,24-07-2024 17:53:47,24-07-2024 17:53:49,1.290s,PASSED
"setText(findTestObject(""Object Repository/Shopping Cart/Sign in/Email_input""), username)",Chrome 126.0.0.0,,,24-07-2024 17:53:49,24-07-2024 17:53:50,1.162s,PASSED
"setText(findTestObject(""Object Repository/Shopping Cart/Sign in/Password_input""), password)",Chrome 126.0.0.0,,,24-07-2024 17:53:50,24-07-2024 17:53:51,0.857s,PASSED
"sendKeys(findTestObject(""Object Repository/Shopping Cart/Sign in/Password_input""), Keys.chord(TAB))",Chrome 126.0.0.0,,,24-07-2024 17:53:51,24-07-2024 17:53:51,0.520s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign in/Email_error_message_lb""), 10)",Chrome 126.0.0.0,,,24-07-2024 17:53:51,24-07-2024 17:53:52,0.550s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign in/Password_error_message_lb""), 10)",Chrome 126.0.0.0,,,24-07-2024 17:53:52,24-07-2024 17:53:52,0.310s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,24-07-2024 17:53:52,24-07-2024 17:53:52,0.220s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Sign in/TC01_Fill_wrong_username_password_format,Chrome 126.0.0.0,,,24-07-2024 17:53:52,24-07-2024 17:54:04,12.022s,PASSED
openBrowser(Login_URL),Chrome 126.0.0.0,,,24-07-2024 17:53:52,24-07-2024 17:53:55,3.055s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,24-07-2024 17:53:55,24-07-2024 17:54:00,4.573s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Sign in/Sign_in_page""), 10)",Chrome 126.0.0.0,,,24-07-2024 17:54:00,24-07-2024 17:54:01,0.932s,PASSED
"setText(findTestObject(""Object Repository/Shopping Cart/Sign in/Email_input""), username)",Chrome 126.0.0.0,,,24-07-2024 17:54:01,24-07-2024 17:54:02,1.133s,PASSED
