Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout_logged_in,Chrome 126.0.0.0,,,25-07-2024 23:17:39,25-07-2024 23:18:06,26.170s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Check out/TC50_Logged_in_Checkout,Chrome 126.0.0.0,,,25-07-2024 23:17:40,25-07-2024 23:18:06,25.981s,PASSED
"store.Authentication.Login.Login_successed(username, password)",Chrome 126.0.0.0,,,25-07-2024 23:17:40,25-07-2024 23:18:00,19.636s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,25-07-2024 23:18:00,25-07-2024 23:18:00,0.014s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Shopping Cart/Dashboard/Product_item"", [""product_name"":product_name]), 3)",Chrome 126.0.0.0,,,25-07-2024 23:18:00,25-07-2024 23:18:00,0.293s,PASSED
"click(findTestObject(""Object Repository/Shopping Cart/Dashboard/Product_item"", [""product_name"":product_name]))",Chrome 126.0.0.0,,,25-07-2024 23:18:00,25-07-2024 23:18:00,0.340s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Shopping Cart/Product Overview/Product_Overview_page""), 3)",Chrome 126.0.0.0,,,25-07-2024 23:18:00,25-07-2024 23:18:01,0.853s,PASSED
store.Function.Check_out_product.Check_out_a_product(),Chrome 126.0.0.0,,,25-07-2024 23:18:01,25-07-2024 23:18:05,3.828s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Check out/Success page/Checkout_success_page""), 5)",Chrome 126.0.0.0,,,25-07-2024 23:18:05,25-07-2024 23:18:06,0.707s,PASSED
