Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Burger_menu_log_in,TestCloud - Windows - Chrome 127.0.0.0,,,26-07-2024 15:36:41,26-07-2024 15:50:32,13m - 51.277s,FAILED
,,,,,,,
Test Cases/Healthcare/Buger Menu/TC05_Logged_in_Check_display,TestCloud - Windows - Chrome 127.0.0.0,,,26-07-2024 15:39:31,26-07-2024 15:39:58,26.734s,FAILED
store.Authentication.HC_Login_Burger_menu.Login_via_Burger_menu(),TestCloud - Windows - Chrome 127.0.0.0,,,26-07-2024 15:39:31,26-07-2024 15:39:58,26.706s,FAILED
,,,,,,,
Test Cases/Healthcare/Buger Menu/TC07_Check_navigation_Home_Logged_in,TestCloud - Windows - Chrome 127.0.0.0,,,26-07-2024 15:42:06,26-07-2024 15:42:46,39.228s,FAILED
store.Authentication.HC_Login_Burger_menu.Login_via_Burger_menu(),TestCloud - Windows - Chrome 127.0.0.0,,,26-07-2024 15:42:06,26-07-2024 15:42:46,39.212s,FAILED
,,,,,,,
Test Cases/Healthcare/Buger Menu/TC08_Check_navigation_History,TestCloud - Windows - Chrome 127.0.0.0,,,26-07-2024 15:44:35,26-07-2024 15:45:16,40.376s,FAILED
store.Authentication.HC_Login_Burger_menu.Login_via_Burger_menu(),TestCloud - Windows - Chrome 127.0.0.0,,,26-07-2024 15:44:35,26-07-2024 15:45:16,40.362s,FAILED
,,,,,,,
Test Cases/Healthcare/Buger Menu/TC11_Check_navigation_Profile,TestCloud - Windows - Chrome 127.0.0.0,,,26-07-2024 15:47:03,26-07-2024 15:47:43,39.893s,FAILED
store.Authentication.HC_Login_Burger_menu.Login_via_Burger_menu(),TestCloud - Windows - Chrome 127.0.0.0,,,26-07-2024 15:47:03,26-07-2024 15:47:43,39.876s,FAILED
,,,,,,,
Test Cases/Healthcare/Buger Menu/TC12_Access_Homepage_via_History_page,TestCloud - Windows - Chrome 127.0.0.0,,,26-07-2024 15:49:50,26-07-2024 15:50:32,42.521s,FAILED
store.Function.Access_HC_History.Access_History(),TestCloud - Windows - Chrome 127.0.0.0,,,26-07-2024 15:49:50,26-07-2024 15:50:32,42.500s,FAILED
