Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Header_menu,Chrome 127.0.0.0,,,27-07-2024 09:10:40,27-07-2024 09:13:11,2m - 30.996s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Filter/TC23_HeaderMenu_Women_product_type_Basics,Chrome 127.0.0.0,,,27-07-2024 09:10:40,27-07-2024 09:10:52,12.197s,PASSED
openBrowser(Dashborad_URL),Chrome 127.0.0.0,,,27-07-2024 09:10:40,27-07-2024 09:10:49,8.343s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,27-07-2024 09:10:49,27-07-2024 09:10:49,0.114s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Shopping Cart/Dashboard/Dashboard_page""), 5)",Chrome 127.0.0.0,,,27-07-2024 09:10:49,27-07-2024 09:10:52,3.315s,PASSED
"if (department == ""Women"" && type == ""Basics"")",Chrome 127.0.0.0,,,27-07-2024 09:10:52,27-07-2024 09:10:52,0.002s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,27-07-2024 09:10:52,27-07-2024 09:10:52,0.168s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Filter/TC24_HeaderMenu_Women_product_type_Blazer,Chrome 127.0.0.0,,,27-07-2024 09:10:52,27-07-2024 09:10:58,5.953s,PASSED
openBrowser(Dashborad_URL),Chrome 127.0.0.0,,,27-07-2024 09:10:52,27-07-2024 09:10:58,5.451s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,27-07-2024 09:10:58,27-07-2024 09:10:58,0.038s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Shopping Cart/Dashboard/Dashboard_page""), 5)",Chrome 127.0.0.0,,,27-07-2024 09:10:58,27-07-2024 09:10:58,0.248s,PASSED
"if (department == ""Women"" && type == ""Blazer"")",Chrome 127.0.0.0,,,27-07-2024 09:10:58,27-07-2024 09:10:58,0.001s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,27-07-2024 09:10:58,27-07-2024 09:10:58,0.122s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Filter/TC25_HeaderMenu_Kids_product_type_Girl,Chrome 127.0.0.0,,,27-07-2024 09:10:58,27-07-2024 09:11:04,5.962s,PASSED
openBrowser(Dashborad_URL),Chrome 127.0.0.0,,,27-07-2024 09:10:58,27-07-2024 09:11:04,5.452s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,27-07-2024 09:11:04,27-07-2024 09:11:04,0.050s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Shopping Cart/Dashboard/Dashboard_page""), 5)",Chrome 127.0.0.0,,,27-07-2024 09:11:04,27-07-2024 09:11:04,0.253s,PASSED
"if (department == ""Kids"" && type == ""Girl"")",Chrome 127.0.0.0,,,27-07-2024 09:11:04,27-07-2024 09:11:04,0.001s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,27-07-2024 09:11:04,27-07-2024 09:11:04,0.139s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Filter/TC26_HeaderMenu_Kids_product_type_Boy,Chrome 127.0.0.0,,,27-07-2024 09:11:04,27-07-2024 09:11:10,5.795s,PASSED
openBrowser(Dashborad_URL),Chrome 127.0.0.0,,,27-07-2024 09:11:04,27-07-2024 09:11:10,5.315s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,27-07-2024 09:11:10,27-07-2024 09:11:10,0.032s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Shopping Cart/Dashboard/Dashboard_page""), 5)",Chrome 127.0.0.0,,,27-07-2024 09:11:10,27-07-2024 09:11:10,0.254s,PASSED
"if (department == ""Kids"" && type == ""Boy"")",Chrome 127.0.0.0,,,27-07-2024 09:11:10,27-07-2024 09:11:10,0.001s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,27-07-2024 09:11:10,27-07-2024 09:11:10,0.120s,PASSED
,,,,,,,
Test Cases/Shopping Cart/Filter/TC27_HeaderMenu_Men_product_type_Knitwear,Chrome 127.0.0.0,,,27-07-2024 09:11:10,27-07-2024 09:11:16,5.937s,PASSED
openBrowser(Dashborad_URL),Chrome 127.0.0.0,,,27-07-2024 09:11:10,27-07-2024 09:11:16,5.449s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,27-07-2024 09:11:16,27-07-2024 09:11:16,0.052s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Shopping Cart/Dashboard/Dashboard_page""), 5)",Chrome 127.0.0.0,,,27-07-2024 09:11:16,27-07-2024 09:11:16,0.248s,PASSED
